,Element Count,Element Name,Of Which are Numerical,source
86,422242.0,netcurrentassetsliabilities,422242.0,all
116,398911.0,totalassetslesscurrentliabilities,398911.0,all
35,392062.0,currentassets,392062.0,all
65,202419.0,fixedassets,202419.0,all
41,198699.0,debtors,198699.0,all
95,181986.0,parvalueshare,181986.0,all
88,159626.0,numbersharesallotted,159626.0,all
92,102176.0,othercreditors,102176.0,all
19,92180.0,averagenumberemployeesduringperiod,92180.0,all
24,86370.0,calledupsharecapitalnotpaidnotexpressedascurrentasset,86370.0,all
93,78023.0,otherdebtors,78023.0,all
97,42429.0,prepaymentsaccruedincomenotexpressedwithincurrentassetsubtotal,42429.0,all
22,21999.0,bankborrowingsoverdrafts,21999.0,all
13,20945.0,amountspecificadvanceorcreditdirectors,20945.0,all
15,19760.0,amountspecificadvanceorcreditrepaidinperioddirectors,19760.0,all
14,19622.0,amountspecificadvanceorcreditmadeinperioddirectors,19622.0,all
71,15842.0,investmentsfixedassets,15842.0,all
6,9216.0,advancescreditsdirectors,9216.0,all
7,8359.0,advancescreditsmadeinperioddirectors,8359.0,all
8,7462.0,advancescreditsrepaidinperioddirectors,7462.0,all
101,7305.0,profitlossonordinaryactivitiesbeforetax,7305.0,all
23,7123.0,bankoverdrafts,7123.0,all
21,7109.0,bankborrowings,7109.0,all
5,6973.0,administrativeexpenses,6973.0,all
34,6370.0,currentassetinvestments,6370.0,all
90,5526.0,operatingprofitloss,5526.0,all
67,5208.0,grossprofitloss,5208.0,all
74,4691.0,loansfromdirectors,4691.0,all
4,4366.0,administrationsupportaveragenumberemployees,4366.0,all
29,3640.0,costsales,3640.0,all
64,2694.0,finishedgoodsgoodsforresale,2694.0,all
121,2269.0,workinprogress,2269.0,all
49,1927.0,directorremuneration,1927.0,all
12,1865.0,amountsowedtorelatedparties,1865.0,all
120,1547.0,wagessalaries,1547.0,all
104,1374.0,rawmaterialsconsumables,1374.0,all
106,1242.0,salesmarketingdistributionaveragenumberemployees,1242.0,all
53,1205.0,distributioncosts,1205.0,all
17,1026.0,amountsrecoverableoncontracts,1026.0,all
63,808.0,financialassets,808.0,all
107,647.0,socialsecuritycosts,647.0,all
89,643.0,numbersharesauthorised,643.0,all
94,474.0,otheroperatingincome,474.0,all
18,394.0,auditfeesexpenses,394.0,all
115,382.0,totalassets,382.0,all
50,287.0,directorremunerationbenefitsexcludingpaymentstothirdparties,287.0,all
100,228.0,profitlossonordinaryactivitiesaftertax,228.0,all
16,129.0,amountspecificbankloan,129.0,all
51,101.0,directorremunerationbenefitsincludingpaymentstothirdparties,101.0,all
118,94.0,totalliabilities,94.0,all
