,Element Count,Element Name,Of Which are Numerical,source
5,64.0,charityfunds,64.0,char
7,64.0,netassetsliabilities,64.0,char
24,63.0,cashbankonhand,63.0,char
25,63.0,netincomeexpenditurebeforetransfersbetweenfundsotherrecognisedgainslosses,63.0,char
26,63.0,incomeendowments,63.0,char
27,62.0,incomematerialfund,62.0,char
29,62.0,expenditurematerialfund,62.0,char
47,58.0,donationslegacies,58.0,char
50,56.0,expenditure,56.0,char
52,55.0,creditors,55.0,char
57,51.0,costcharitableactivity,51.0,char
65,36.0,propertyplantequipment,36.0,char
69,33.0,accruedliabilities,33.0,char
70,33.0,accumulateddepreciationimpairmentpropertyplantequipment,33.0,char
71,33.0,propertyplantequipmentgrosscost,33.0,char
72,31.0,costsraisingfunds,31.0,char
73,30.0,increasefromdepreciationchargeforyearpropertyplantequipment,30.0,char
75,29.0,depreciationexpensepropertyplantequipment,29.0,char
77,28.0,investmentincome,28.0,char
79,24.0,tradecreditorstradepayables,24.0,char
80,24.0,incomefromothertradingactivities,24.0,char
81,24.0,interestincomeonbankdeposits,24.0,char
82,23.0,incomefromcharitableactivity,23.0,char
86,20.0,othertaxationsocialsecuritypayable,20.0,char
88,17.0,tradedebtorstradereceivables,17.0,char
89,17.0,otherexpenditure,17.0,char
90,17.0,totaladditionsincludingfrombusinesscombinationspropertyplantequipment,17.0,char
93,14.0,accruedliabilitiesdeferredincome,14.0,char
94,13.0,fundraisingsupportcosts,13.0,char
95,12.0,incomefromothertradingactivity,12.0,char
98,11.0,furtheritemincomefromothertradingactivitiescomponenttotalincomefromothertradingactivities,11.0,char
99,10.0,prepayments,10.0,char
104,8.0,prepaymentsaccruedincome,8.0,char
105,8.0,furtheritemdonationslegaciescomponenttotaldonationslegacies,8.0,char
108,7.0,totalinventories,7.0,char
111,6.0,otherincome,6.0,char
112,6.0,furtheritemcostsraisingfundscomponenttotalcostsraisingfunds,6.0,char
114,6.0,netincreasedecreaseincharitablefunds,6.0,char
120,4.0,otherremainingborrowings,4.0,char
124,4.0,merchandise,4.0,char
125,4.0,othergeneralgrants,4.0,char
129,4.0,gainlossondisposalspropertyplantequipment,4.0,char
132,3.0,investmentsingroupundertakings,3.0,char
136,3.0,netassetsliabilitiessubsidiaries,3.0,char
137,3.0,amountsowedbygroupundertakings,3.0,char
138,3.0,recoverablevalue-addedtax,3.0,char
139,3.0,percentageclassshareheldinsubsidiary,3.0,char
141,3.0,giftaid,3.0,char
143,3.0,staffcostsemployeebenefitsexpense,3.0,char
146,2.0,repairsmaintenanceexpenseproperty-related,2.0,char
147,2.0,netgainslossesoninvestmentassets,2.0,char
148,2.0,corporationtaxrecoverable,2.0,char
149,2.0,insurancecosts,2.0,char
150,2.0,gainlossmaterialfund,2.0,char
151,2.0,utilitiescosts,2.0,char
153,2.0,trusteesexpenses,2.0,char
154,2.0,incomefromcharitableactivities,2.0,char
