,Element Count,Element Name,Of Which are Numerical,source
15,261910.0,equity,261910.0,frs-102
20,247806.0,creditors,247806.0,frs-102
27,175851.0,netassetsliabilities,175851.0,frs-102
32,155559.0,cashbankonhand,155559.0,frs-102
42,114639.0,propertyplantequipment,114639.0,frs-102
45,112273.0,propertyplantequipmentgrosscost,112273.0,frs-102
49,107646.0,accumulateddepreciationimpairmentpropertyplantequipment,107646.0,frs-102
52,100525.0,increasefromdepreciationchargeforyearpropertyplantequipment,100525.0,frs-102
58,77626.0,tradedebtorstradereceivables,77626.0,frs-102
60,72918.0,tradecreditorstradepayables,72918.0,frs-102
62,69799.0,othertaxationsocialsecuritypayable,69799.0,frs-102
66,48958.0,totalinventories,48958.0,frs-102
67,46358.0,provisionsforliabilitiesbalancesheetsubtotal,46358.0,frs-102
69,44547.0,corporationtaxpayable,44547.0,frs-102
70,44368.0,totaladditionsincludingfrombusinesscombinationspropertyplantequipment,44368.0,frs-102
75,34825.0,numbersharesissuedfullypaid,34825.0,frs-102
77,29762.0,profitloss,29762.0,frs-102
80,25286.0,accruedliabilitiesnotexpressedwithincreditorssubtotal,25286.0,frs-102
87,21724.0,taxationsocialsecuritypayable,21724.0,frs-102
89,21156.0,additionsotherthanthroughbusinesscombinationspropertyplantequipment,21156.0,frs-102
90,20235.0,intangibleassetsgrosscost,20235.0,frs-102
91,19972.0,intangibleassets,19972.0,frs-102
94,18019.0,accumulatedamortisationimpairmentintangibleassets,18019.0,frs-102
99,17291.0,accruedliabilities,17291.0,frs-102
101,16557.0,accruedliabilitiesdeferredincome,16557.0,frs-102
102,15939.0,nominalvalueallottedsharecapital,15939.0,frs-102
106,14541.0,disposalspropertyplantequipment,14541.0,frs-102
109,13440.0,disposalsdecreaseindepreciationimpairmentpropertyplantequipment,13440.0,frs-102
114,12566.0,increasefromamortisationchargeforyearintangibleassets,12566.0,frs-102
116,12298.0,turnoverrevenue,12298.0,frs-102
117,12067.0,dividendspaid,12067.0,frs-102
118,11812.0,financeleaseliabilitiespresentvaluetotal,11812.0,frs-102
135,10587.0,taxtaxcreditonprofitorlossonordinaryactivities,10587.0,frs-102
138,9487.0,prepaymentsaccruedincome,9487.0,frs-102
144,7674.0,amountsowedtodirectors,7674.0,frs-102
147,6784.0,staffcostsemployeebenefitsexpense,6784.0,frs-102
152,6401.0,prepayments,6401.0,frs-102
154,6205.0,comprehensiveincomeexpense,6205.0,frs-102
157,5749.0,totalborrowings,5749.0,frs-102
160,5429.0,otheroperatingexpensesformat2,5429.0,frs-102
161,5374.0,depreciationrateusedforpropertyplantequipment,5374.0,frs-102
162,5316.0,investmentproperty,5316.0,frs-102
164,5136.0,value-addedtaxpayable,5136.0,frs-102
165,5083.0,amountsowedtogroupundertakings,5083.0,frs-102
166,4991.0,taxationincludingdeferredtaxationbalancesheetsubtotal,4991.0,frs-102
173,4596.0,rawmaterialsconsumablesused,4596.0,frs-102
174,4586.0,otherdisposalspropertyplantequipment,4586.0,frs-102
178,4315.0,provisions,4315.0,frs-102
181,4177.0,otherdisposalsdecreaseindepreciationimpairmentpropertyplantequipment,4177.0,frs-102
182,4135.0,investmentpropertyfairvaluemodel,4135.0,frs-102
184,3984.0,otherremainingborrowings,3984.0,frs-102
188,3781.0,recoverablevalue-addedtax,3781.0,frs-102
189,3737.0,depreciationamortisationimpairmentexpense,3737.0,frs-102
192,3617.0,amountsowedbygroupundertakings,3617.0,frs-102
193,3586.0,corporationtaxrecoverable,3586.0,frs-102
194,3528.0,otheroperatingincomeformat2,3528.0,frs-102
195,3269.0,deferredincome,3269.0,frs-102
199,3030.0,futureminimumleasepaymentsundernon-cancellableoperatingleases,3030.0,frs-102
202,2606.0,investmentsingroupundertakings,2606.0,frs-102
203,2445.0,totaladditionsincludingfrombusinesscombinationsintangibleassets,2445.0,frs-102
206,2308.0,depreciationexpensepropertyplantequipment,2308.0,frs-102
207,2292.0,otherinterestreceivablesimilarincomefinanceincome,2292.0,frs-102
208,2272.0,merchandise,2272.0,frs-102
209,2262.0,otherinvestmentsotherthanloans,2262.0,frs-102
211,2167.0,otherinventories,2167.0,frs-102
212,2131.0,issueequityinstruments,2131.0,frs-102
214,2108.0,accumulateddepreciationnotincludingimpairmentpropertyplantequipment,2108.0,frs-102
216,1966.0,totalincreasedecreasefromrevaluationspropertyplantequipment,1966.0,frs-102
217,1943.0,amountsowedtogroupundertakingsparticipatinginterests,1943.0,frs-102
218,1914.0,interestpayablesimilarchargesfinancecosts,1914.0,frs-102
220,1887.0,amountsowedbyrelatedparties,1887.0,frs-102
222,1829.0,deferredtaxliabilities,1829.0,frs-102
223,1829.0,finaldividendspaid,1829.0,frs-102
229,1647.0,additionalprovisionsincreasefromnewprovisionsrecognised,1647.0,frs-102
230,1566.0,numbersharesissuedspecificshareissue,1566.0,frs-102
231,1563.0,nominalvaluesharesissuedspecificshareissue,1563.0,frs-102
233,1542.0,netdeferredtaxliabilityasset,1542.0,frs-102
234,1515.0,increasedecreaseinpropertyplantequipment,1515.0,frs-102
237,1485.0,amountsowedbygroupundertakingsparticipatinginterests,1485.0,frs-102
238,1476.0,dividendpershareinterim,1476.0,frs-102
241,1373.0,additionsotherthanthroughbusinesscombinationsinvestmentpropertyfairvaluemodel,1373.0,frs-102
242,1346.0,increasedecreaseduetotransfersbetweenclassespropertyplantequipment,1346.0,frs-102
244,1321.0,increasedecreaseinnetdeferredtaxliabilityfromamountrecognisedinprofitorloss,1321.0,frs-102
245,1270.0,currenttaxforperiod,1270.0,frs-102
248,1228.0,incomeexpenserecogniseddirectlyinequity,1228.0,frs-102
249,1222.0,additionalprovisionsincreasefromnewprovisionsrecognisedinprofitorloss,1222.0,frs-102
251,1145.0,investments,1145.0,frs-102
252,1132.0,otherincreasedecreaseindepreciationimpairmentpropertyplantequipment,1132.0,frs-102
253,1125.0,deferredtaxassetdebtors,1125.0,frs-102
256,1096.0,otheroperatingincomeformat1,1096.0,frs-102
263,1020.0,balancesamountsowedtorelatedparties,1020.0,frs-102
265,1005.0,finishedgoods,1005.0,frs-102
266,952.0,financeleasepaymentsowingminimumgross,952.0,frs-102
268,937.0,gainlossonrevaluationpropertyplantequipmentbeforetaxinothercomprehensiveincome,937.0,frs-102
269,926.0,interimdividendspaid,926.0,frs-102
271,894.0,rawmaterials,894.0,frs-102
272,885.0,dividendspaidonsharesinterim,885.0,frs-102
274,871.0,furtheritemcreditorscomponenttotalcreditors,871.0,frs-102
275,869.0,disposalsintangibleassets,869.0,frs-102
278,855.0,percentageclassshareheldinsubsidiary,855.0,frs-102
279,854.0,investmentsinsubsidiaries,854.0,frs-102
281,824.0,calledupsharecapitalnotpaid,824.0,frs-102
285,765.0,disposalsdecreaseinamortisationimpairmentintangibleassets,765.0,frs-102
290,644.0,numbersharesissuedinperiod-gross,644.0,frs-102
294,636.0,balancesamountsowedbyrelatedparties,636.0,frs-102
297,625.0,amortisationrateusedforintangibleassets,625.0,frs-102
298,612.0,numbersharesissuedbutnotfullypaid,612.0,frs-102
300,582.0,nominalvaluesharesissuedinperiod,582.0,frs-102
301,582.0,deferredtaxexpensecreditrelatingtooriginationreversaltimingdifferences,582.0,frs-102
